Action,sell/buy,Price,Amount,matched with,price,amount
generation,BUY,117.4,244
generation,SELL,117.6,733
generation,BUY,117.4,94
Matching,18.7,60,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18,80,matched with,18,70
Matching,18.7,773,matched with,18.7,1090
Matching,18.7,50,matched with,18.7,20
Matching,18.7,40,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,10,matched with,18.7,20
Matching,18.7,70,matched with,18.7,70
Matching,18,860,matched with,18,1170
Matching,18,456,matched with,18,456
Matching,18.7,60,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,70,matched with,18.7,70
Matching,18.7,40,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18.7,30,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18.7,10,matched with,18.7,20
Matching,18,80,matched with,18,70
Matching,18,456,matched with,18,456
Matching,18.7,773,matched with,18.7,1090
Matching,18,860,matched with,18,1170
Matching,18.7,70,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,60,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18.7,70,matched with,18.7,70
Matching,18,456,matched with,18,456
Matching,18.7,50,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,40,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,10,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18,80,matched with,18,70
Matching,18,860,matched with,18,1170
Matching,18.7,773,matched with,18.7,1090
Matching,18.7,70,matched with,18.7,20
Matching,18.7,60,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18.7,70,matched with,18.7,20
Matching,18.7,70,matched with,18.7,70
Matching,18,456,matched with,18,456
Matching,18.7,40,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18,80,matched with,18,70
Matching,18.7,773,matched with,18.7,1090
Matching,18.7,30,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18,860,matched with,18,1170
Matching,18.7,10,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18.7,70,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,60,matched with,18.7,20
Matching,18.7,70,matched with,18.7,70
Matching,18,456,matched with,18,456
Matching,18.7,50,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,40,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,10,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18.7,773,matched with,18.7,1090
Matching,18,860,matched with,18,1170
Matching,18,80,matched with,18,70
Matching,18.7,70,matched with,18.7,20
Matching,18.7,60,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18.7,50,matched with,18.7,20
Matching,18.7,70,matched with,18.7,70
Matching,18.7,30,matched with,18.7,20
Matching,18.7,40,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18,860,matched with,18,1170
Matching,18,456,matched with,18,456
Matching,18,80,matched with,18,70
Matching,18.7,773,matched with,18.7,1090
Matching,18.7,10,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,50,matched with,18.7,20
Matching,18.7,60,matched with,18.7,20
Matching,18.7,70,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,70,matched with,18.7,70
Matching,18.7,50,matched with,18.7,20
Matching,18.7,40,matched with,18.7,20
Matching,18.7,30,matched with,18.7,20
Matching,18.7,20,matched with,18.7,20
Matching,18.7,10,matched with,18.7,20
Matching,18.7,600,matched with,18.7,100
Matching,18.7,773,matched with,18.7,1090
Matching,18,80,matched with,18,70
Matching,18,456,matched with,18,456
Matching,18,860,matched with,18,1170
